YEAR,GENERO,EDAD,REL_LABORAL,FELICIDAD,SALUD,SEGURIDAD,REGION
2002,Mujer,53,Empleado,7,Buena,Inseguro,Cataluña
2002,Mujer,61,Empleado,6,Normal,Muy inseguro,Cataluña
2002,Hombre,65,Empleado,8,Buena,Seguro,Cataluña
2002,Hombre,51,Empleado,5,Normal,Seguro,Cataluña
2002,Mujer,63,Empleado,7,Normal,Inseguro,Cataluña
2002,Mujer,34,Empleado,10,Normal,Muy seguro,Cataluña
2002,Mujer,36,Empleado,7,Buena,Muy inseguro,Cataluña
2002,Mujer,68,Empleado,10,Buena,Seguro,Cataluña
2002,Mujer,45,Empleado,5,Buena,Seguro,Cataluña
2002,Hombre,17,Empleado,9,Normal,Seguro,Cataluña
2002,Hombre,56,Empleado,8,Buena,Muy seguro,Cataluña
2002,Mujer,62,Negocio familiar,7,Normal,Seguro,Cataluña
2002,Mujer,53,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,54,Empleado,8,Buena,Seguro,Cataluña
2002,Mujer,50,Autónomo,6,Buena,Seguro,Cataluña
2002,Mujer,60,Empleado,7,Mala,Seguro,Cataluña
2002,Mujer,65,Empleado,9,Mala,Inseguro,Cataluña
2002,Mujer,46,Empleado,9,Mala,Seguro,Cataluña
2002,Hombre,46,Empleado,7,Mala,Seguro,Cataluña
2002,Mujer,48,Empleado,7,Normal,Inseguro,Cataluña
2002,Hombre,67,Empleado,10,Buena,Seguro,Cataluña
2002,Hombre,24,Empleado,7,Buena,Seguro,Cataluña
2002,Mujer,35,Empleado,8,Buena,Inseguro,Cataluña
2002,Mujer,59,Empleado,6,Buena,Seguro,Cataluña
2002,Mujer,44,Empleado,7,Buena,Inseguro,Cataluña
2002,Hombre,58,Empleado,7,Buena,Seguro,Cataluña
2002,Mujer,42,Empleado,7,Buena,Inseguro,Cataluña
2002,Mujer,54,Empleado,7,Buena,Inseguro,Cataluña
2002,Mujer,39,Empleado,8,Buena,Seguro,Cataluña
2002,Mujer,23,Empleado,8,Mala,Muy seguro,Cataluña
2002,Hombre,59,Empleado,7,Normal,Seguro,Cataluña
2002,Hombre,52,Empleado,8,Buena,Muy seguro,Cataluña
2002,Hombre,46,Empleado,8,Normal,Seguro,Cataluña
2002,Hombre,65,Empleado,9,Mala,Inseguro,Cataluña
2002,Mujer,42,Empleado,5,Normal,Inseguro,Cataluña
2002,Hombre,57,Autónomo,8,Buena,Muy inseguro,Cataluña
2002,Hombre,36,Autónomo,10,Mala,Muy seguro,Cataluña
2002,Mujer,38,Autónomo,10,Muy buena,Inseguro,Cataluña
2002,Hombre,67,Empleado,5,Normal,Inseguro,Cataluña
2002,Hombre,44,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,32,Empleado,8,Buena,Seguro,Cataluña
2002,Mujer,37,Autónomo,7,Buena,Seguro,Cataluña
2002,Mujer,62,Empleado,7,Normal,Seguro,Cataluña
2002,Mujer,30,Empleado,8,Normal,Muy seguro,Cataluña
2002,Hombre,46,Empleado,8,Normal,Muy seguro,Cataluña
2002,Mujer,39,Empleado,8,Buena,Seguro,Cataluña
2002,Mujer,26,Empleado,8,Muy buena,Seguro,Cataluña
2002,Hombre,41,Empleado,5,Buena,Seguro,Cataluña
2002,Mujer,34,Empleado,5,Muy buena,Seguro,Cataluña
2002,Hombre,30,Empleado,9,Muy buena,Seguro,Cataluña
2002,Mujer,36,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,56,Empleado,9,Normal,Inseguro,Cataluña
2002,Hombre,17,Empleado,9,Buena,Inseguro,Cataluña
2002,Hombre,24,Empleado,8,Buena,Seguro,Comunidad de Madrid
2002,Hombre,68,Empleado,7,Normal,Seguro,Cataluña
2002,Mujer,49,Empleado,7,Normal,Inseguro,Cataluña
2002,Mujer,24,Empleado,7,Buena,Seguro,Cataluña
2002,Mujer,26,Empleado,8,Buena,Seguro,Cataluña
